OnsetDate,CaseCount,Precipitation,Tave,Tmax,Tmin
2006/5/8,0,0,28.6,33.8,25.5
2006/5/9,0,0,29.2,34,25.6
2006/5/10,0,54.2,28.5,33.7,23.7
2006/5/11,0,0.1,28.4,33.6,24.4
2006/5/12,0,0,28.3,32.8,24.1
2006/5/13,0,0,24.2,28.8,20.8
2006/5/14,0,0,23.2,28.9,18
2006/5/15,0,0,25.1,30.9,19.6
2006/5/16,0,0,23.7,26.4,21.4
2006/5/17,0,6.4,22.1,23.9,19.7
2006/5/18,0,0.7,24.7,29.2,20.7
2006/5/19,0,0,25.3,31.3,19.2
2006/5/20,0,0.1,25.5,28.6,22.4
2006/5/21,0,40.8,22.2,25.7,20.6
2006/5/22,0,107.4,24.6,26.9,23.1
2006/5/23,0,34.5,24.5,27.9,22.8
2006/5/24,0,5.8,25.8,29.8,23.3
2006/5/25,0,0.4,27.7,32.8,24.8
2006/5/26,0,5.8,27.4,31.9,26
2006/5/27,0,95,24.5,26.6,23.7
2006/5/28,0,53.4,23.8,27.3,21.6
2006/5/29,0,63.2,20.4,22.4,19.3
2006/5/30,0,9.5,20.8,22.6,19.2
2006/5/31,0,13,25,31.4,21.8
2006/6/1,0,6.6,26.3,30,24.7
2006/6/2,0,13.1,25.8,28.5,24.7
2006/6/3,0,19.5,27,30.2,25.3
2006/6/4,0,3.5,27.5,30.3,26
2006/6/5,0,11.3,28.5,32.6,26
2006/6/6,0,6.9,28.6,31.8,24.3
2006/6/7,0,0,28.6,31.5,27.3
2006/6/8,0,15.8,27.3,29.1,25.2
2006/6/9,0,70.2,24.8,25.4,24.4
2006/6/10,0,2.8,25.1,28.8,21.3
2006/6/11,0,0,26.2,31.2,22.1
2006/6/12,0,3,23.8,26.4,22.5
2006/6/13,0,25.6,26.1,32.3,23.5
2006/6/14,0,46.5,26.2,30.4,24
2006/6/15,1,12.7,25.6,30.2,24.1
2006/6/16,1,0.8,28.3,32.4,25.9
2006/6/17,0,0,28.8,32.8,26.2
2006/6/18,0,0,28.8,32,26.1
2006/6/19,0,2.6,26.8,31.2,25.5
2006/6/20,0,12.2,27.3,32.8,24.2
2006/6/21,0,0,28.8,34.5,24.4
2006/6/22,0,1.9,29.5,33.4,25.8
2006/6/23,0,0.9,30.1,34.4,25.9
2006/6/24,0,0,31,35.9,27.4
2006/6/25,0,0,31.4,35.9,27.8
2006/6/26,0,0,31.6,36.1,27.7
2006/6/27,0,0,31.4,35.9,26.6
2006/6/28,0,5.9,27.6,32.1,26.5
2006/6/29,0,20,28.6,32.5,25
2006/6/30,0,6.5,28.3,32.4,26.6
2006/7/1,0,0,30.5,35.2,26.9
2006/7/2,0,0,29.9,33.6,26.8
2006/7/3,0,0,30.4,34.8,26.9
2006/7/4,0,16.6,29.7,33.5,26.7
2006/7/5,0,0.2,30.5,34.8,27.1
2006/7/6,0,33.9,30.3,34.9,27.9
2006/7/7,0,0.2,29.6,34.4,28.1
2006/7/8,0,0,30.8,34.7,27.8
2006/7/9,0,0.7,30.8,34.4,28.9
2006/7/10,0,0.6,30.6,33.5,29
2006/7/11,0,3.7,30.5,34,28.7
2006/7/12,0,0,31.3,35.6,27.8
2006/7/13,1,0.3,31.7,37.2,28.5
2006/7/14,0,0,32.3,37.5,28.1
2006/7/15,0,79.4,29,34.4,25.5
2006/7/16,0,20.5,26.7,28.3,25.9
2006/7/17,1,36.4,27.7,30.7,25.3
2006/7/18,1,2.6,29.9,33.1,27.7
2006/7/19,0,1.6,29.8,34.7,26.9
2006/7/20,0,0,31.3,35.6,27.2
2006/7/21,0,0,31.4,35.6,27.3
2006/7/22,0,0,31,34.5,26.8
2006/7/23,0,0,31.4,35.5,27.5
2006/7/24,0,0,32,37.5,28
2006/7/25,0,0,33.1,37.3,29.4
2006/7/26,0,9.7,28.2,33.7,25.8
2006/7/27,0,37.6,25.7,27.5,23.6
2006/7/28,1,5.3,26.7,30,25
2006/7/29,0,2.2,26.2,29.8,25.1
2006/7/30,0,12.8,26.6,32.2,24.4
2006/7/31,3,0,29.2,34,25.1
2006/8/1,0,0,30.6,36.6,25
2006/8/2,0,0,29.2,33.2,26.6
2006/8/3,2,58.7,25.3,27.8,24.4
2006/8/4,5,45.1,26.5,28.9,24.2
2006/8/5,0,0,27.2,31.1,25.5
2006/8/6,0,0.8,27.4,31.6,25.3
2006/8/7,0,0,28.9,34.2,25.9
2006/8/8,1,15.6,29.3,34.8,26
2006/8/9,3,2.5,29.5,35.6,24.7
2006/8/10,4,0.2,30.3,35.4,27.1
2006/8/11,2,0,29,31.8,27
2006/8/12,2,2.7,28.9,34.7,25.7
2006/8/13,3,0,30.6,36.4,25.2
2006/8/14,3,0,30.5,33.7,28.1
2006/8/15,7,0,29.9,34.1,25.6
2006/8/16,3,0,31.1,36,26.3
2006/8/17,3,0,31.9,36.1,27.6
2006/8/18,2,7,30.6,37.5,27.1
2006/8/19,4,4.6,29.1,34.6,25.7
2006/8/20,9,0,31.1,35.8,27.4
2006/8/21,10,0,30,35.1,25.8
2006/8/22,11,0,29.9,34.2,26.6
2006/8/23,13,9.7,29.4,35.2,26.1
2006/8/24,13,0,30.5,34.9,26.5
2006/8/25,19,34.6,28.4,30.8,25.4
2006/8/26,24,6.7,27.7,29.5,26.4
2006/8/27,21,0,29,33.9,25.5
2006/8/28,26,35.1,28.6,34.5,24.4
2006/8/29,20,0.1,28.9,34.5,24.8
2006/8/30,19,0,30.4,34.7,26.3
2006/8/31,23,0,31,35.7,26.8
2006/9/1,23,0,31.1,36.2,27.3
2006/9/2,20,0,31.8,36.3,27.8
2006/9/3,14,1.9,30.9,34.4,28.5
2006/9/4,10,0,29.8,33.1,27.4
2006/9/5,24,7.2,29.5,33.8,27.1
2006/9/6,15,2.2,28.3,33.1,25.3
2006/9/7,17,44.3,27.3,31.4,25.6
2006/9/8,15,3.3,27.3,31.5,26.2
2006/9/9,11,49.3,25.7,27.8,23.6
2006/9/10,10,0.4,22.7,26,19.4
2006/9/11,14,0,24.2,29.2,20.3
2006/9/12,9,0.9,21.3,24,20.2
2006/9/13,7,30.1,21.8,22.6,19.9
2006/9/14,12,19.9,23.2,25.8,21.6
2006/9/15,4,0,26,31.5,22.5
2006/9/16,10,0,26.1,30.8,23.1
2006/9/17,3,0,25.9,31,21.9
2006/9/18,7,0,26,32,20
2006/9/19,6,0,26.3,31.2,22.3
2006/9/20,5,0,25.5,31.1,22.1
2006/9/21,5,0,26.6,32.5,21.1
2006/9/22,7,0,27,32.5,21.4
2006/9/23,17,0,28,33.7,23.2
2006/9/24,9,0,27.6,31.2,24.7
2006/9/25,5,0,28.6,33.7,25.4
2006/9/26,6,0,28.3,33.5,23.6
2006/9/27,6,0,28,33.3,23.6
2006/9/28,4,0,27.6,32.5,23.3
2006/9/29,5,0,28.5,33.9,23.8
2006/9/30,1,0,29.5,32.9,26.8
2006/10/1,1,0.2,27.7,30.3,26.2
2006/10/2,1,0,27.3,31.1,24.4
2006/10/3,0,0,27.5,32.5,24
2006/10/4,2,0,27.3,32.5,23.5
2006/10/5,2,0,26.9,32.2,23.2
2006/10/6,3,0,26.6,32.4,21.8
2006/10/7,1,0,27.3,31.1,24.8
2006/10/8,6,0,26.9,30.5,23.9
2006/10/9,4,3.3,24.4,26.8,22.6
2006/10/10,5,0,25.5,30.7,21.8
2006/10/11,3,0,27.4,32.6,24
2006/10/12,5,0,26.2,31.7,23.9
2006/10/13,5,0,27.4,31.5,24.6
2006/10/14,5,28.1,27.4,31.8,25.2
2006/10/15,0,51.9,26.8,31.1,22.3
2006/10/16,7,2.5,25,27.2,23.5
2006/10/17,4,0,26.8,30.7,24.2
2006/10/18,7,0,26.9,29.9,25.2
2006/10/19,0,0,26.2,29.9,24.2
2006/10/20,6,0,27,32,23.6
2006/10/21,3,0,26.8,30.8,24.7
2006/10/22,1,0,26.9,31.6,23.6
2006/10/23,2,0,27.5,32.8,24.3
2006/10/24,8,0,27.2,30.9,24.9
2006/10/25,7,0,27,31.4,23
2006/10/26,8,0,25.7,29.2,22.9
2006/10/27,6,0,23.6,28.3,20.1
2006/10/28,10,0,23.9,29.5,19.2
2006/10/29,5,0,25,29.8,20.9
2006/10/30,8,0,24.8,30.1,20.9
2006/10/31,4,0,25,29.2,22
2006/11/1,10,0,23.5,26.2,21.7
2006/11/2,4,0,22.8,27.6,19.4
2006/11/3,7,0,22,28.7,17
2006/11/4,6,0,21.2,29.5,15.1
2006/11/5,7,0,22.1,29.7,16.4
2006/11/6,7,0,23.7,30.4,17.6
2006/11/7,1,0,23.1,28.3,18.1
2006/11/8,2,0,22.5,28.9,17.6
2006/11/9,2,0,24.1,30.2,19.4
2006/11/10,4,0,25.2,32.4,20.5
2006/11/11,6,0,26.4,30.9,21.8
2006/11/12,3,0,22,27.7,17.1
2006/11/13,2,0,21.9,27.1,16.8
2006/11/14,2,0,24.1,29.1,20.8
2006/11/15,5,0,23.3,26.8,21
2006/11/16,1,0,23,25.3,21.1
2006/11/17,0,0,24.2,26.9,20.8
2006/11/18,2,2,24.3,28.5,22.8
2006/11/19,0,1.7,21.1,23.6,19.3
2006/11/20,0,0,20.5,23.8,18.8
2006/11/21,0,40.9,19.2,23.1,17.7
2006/11/22,0,0,19.5,22.5,16.9
2006/11/23,1,0,19.1,21.3,16.5
2006/11/24,0,0.1,20.1,23,17.6
2006/11/25,0,0,22.7,25.7,20.8
2006/11/26,0,24.6,24.2,29.7,22.2
2006/11/27,0,3.2,19.3,22.4,16.5
2006/11/28,0,29.1,16.9,21.4,13.9
2006/11/29,1,0,16.4,18.1,15
2006/11/30,0,0,18.2,23.3,15.5
2006/12/1,0,0,16.4,20.7,14
2006/12/2,0,0,15.6,19.3,11.8
2006/12/3,0,0,16.6,21,13.8
2006/12/4,0,0,17,22.3,13.6
2006/12/5,0,0,18.2,24.7,13.2
2006/12/6,0,0,20.8,25.5,16.1
2006/12/7,0,0.3,22,26.5,19.2
2006/12/8,1,0,22.7,27.8,19.2
2006/12/9,0,0,16.7,21.9,14.6
2006/12/10,0,0,14.5,19.2,12.1
2006/12/11,0,0,15.8,21.8,11.6
2006/12/12,0,0,19.5,25.3,14.5
2006/12/13,0,34,17,21.6,14.1
2006/12/14,0,3.5,13.8,15,12.4
2006/12/15,0,0,15.9,19.7,12.7
2006/12/16,0,0,17.1,20.8,14.9
2006/12/17,0,0,13.8,19.7,8.9
2006/12/18,0,0,12.1,19.2,7.5
2006/12/19,0,0,13.4,20.3,8
2006/12/20,0,0,14.8,20.9,10.2
2006/12/21,0,0,15.6,21.1,10.2
2006/12/22,0,0,15.2,21.7,9.5
2006/12/23,0,0,14.6,22.5,8.4
2006/12/24,0,0,15.7,22.7,12.1
2006/12/25,0,0,14.7,23.5,9.8
2006/12/26,0,0,14.2,21.5,10.1
2006/12/27,0,0,15.2,23.3,9.8
2006/12/28,0,0,15.9,21.9,11
2006/12/29,0,0,12.6,17.4,9.1
2006/12/30,0,0,13.1,20.8,8.6
2006/12/31,0,0,15.1,22.1,9.6
2007/1/1,0,0,18.3,25.3,12.3
2007/1/2,0,0.1,19.4,22.8,16.4
2007/1/3,0,0.3,16.6,19.9,14.4
2007/1/4,0,0,13.6,17.3,11.5
2007/1/5,0,0,13.6,18.1,10.3
2007/1/6,0,0,12.4,15.1,10.8
2007/1/7,0,0,11.6,17.2,7.9
2007/1/8,0,0,11.6,17.3,6.7
2007/1/9,0,0,12.2,18.4,8.3
2007/1/10,0,0,13.2,18.9,7.7
2007/1/11,0,0.1,15.5,17.8,13.2
2007/1/12,0,0,15.1,17.7,13.6
2007/1/13,0,0,15.1,20.8,12.3
2007/1/14,0,0,14.9,22.1,11.2
2007/1/15,0,0,17.8,23.5,13.4
2007/1/16,0,0,19.4,25,15
2007/1/17,0,0,15,20,13.2
2007/1/18,0,0,13.8,17.9,10.6
2007/1/19,0,0,14.3,17.7,12.3
2007/1/20,0,12.2,12.6,14.6,12.1
2007/1/21,0,11.1,11,12.9,10.4
2007/1/22,0,0.1,11.8,13.6,10.3
2007/1/23,0,0,12.8,16,11.5
2007/1/24,0,0,11.8,16.7,9.1
2007/1/25,0,0,10.6,16.7,7.4
2007/1/26,0,0,12.7,18.2,8
2007/1/27,0,0,12.7,19.3,8.1
2007/1/28,0,0,12.9,19.1,8
2007/1/29,0,0,11.9,20.7,5.7
2007/1/30,0,0,12.6,22.2,7.1
2007/1/31,0,0,13.8,22.8,7.8
2007/2/1,0,0,15.5,20.4,11.9
2007/2/2,0,0,12.7,21.5,7.6
2007/2/3,0,0,12.6,21.8,6.9
2007/2/4,0,0,14.5,22.4,8.9
2007/2/5,0,0,16,24.2,10.6
2007/2/6,0,0,17.7,25.5,12.6
2007/2/7,0,0,20,27.5,14.4
2007/2/8,0,0,21.2,27.3,16.1
2007/2/9,0,0,21.6,28,17.6
2007/2/10,0,0,20.3,23.8,18.3
2007/2/11,0,0,17.8,19.9,16.2
2007/2/12,0,0,20.5,24.8,18.1
2007/2/13,0,0,21.1,25,18.8
2007/2/14,0,0,20.4,24,18.2
2007/2/15,0,3.2,17.8,20.5,16.4
2007/2/16,0,4.1,19.1,21.4,17.4
2007/2/17,0,0.3,21.2,23.9,20.3
2007/2/18,0,0,19.8,23.4,17.3
2007/2/19,0,1.4,16.1,17.4,15.4
2007/2/20,0,0.3,18.4,22.3,15.6
2007/2/21,0,0,19.4,21.4,18.1
2007/2/22,0,13.1,18.7,20.7,17.3
2007/2/23,0,0,19.2,24.1,14.2
2007/2/24,0,2.3,18.3,21.4,16.9
2007/2/25,0,0.3,19.7,23.8,16.8
2007/2/26,0,0,20.4,22.6,18.7
2007/2/27,0,0,19,21.2,17.5
2007/2/28,0,0,20.9,24.9,18.1
2007/3/1,0,0.7,20,22.2,19
2007/3/2,0,0,21.7,26.7,18
2007/3/3,0,0,22.6,25.9,19.5
2007/3/4,0,0.5,22.6,26.1,20.6
2007/3/5,0,0.1,19.6,23.3,17.6
2007/3/6,0,0,13,17.7,11.3
2007/3/7,0,0.8,9,11.3,7.6
2007/3/8,0,6.9,9.6,11,8.6
2007/3/9,0,4.7,11.7,13.3,10.1
2007/3/10,0,0.1,14,15.5,12.3
2007/3/11,0,0.5,13.9,15.2,13.2
2007/3/12,0,0.8,15.4,18,13.2
2007/3/13,0,0,18.2,21.2,16.1
2007/3/14,0,0,21.5,25.5,19
2007/3/15,0,0,22.3,24.8,20.6
2007/3/16,0,0,22.8,25.3,20.7
2007/3/17,0,6.7,16.1,23.4,13.6
2007/3/18,0,0,14.8,16.7,13.3
2007/3/19,0,8.6,14.8,20.3,11.9
2007/3/20,0,0,15.2,20.2,11.9
2007/3/21,0,0,17.2,22.9,12.4
2007/3/22,0,0,19.6,23.2,15.8
2007/3/23,0,0,22.3,26.2,19.6
2007/3/24,0,0.1,22.9,26.4,21
2007/3/25,0,2.4,23.8,27.4,22
2007/3/26,0,1,24.2,26.5,22.8
2007/3/27,0,4.7,23.5,25.1,20.7
2007/3/28,0,0,21.7,22.9,21
2007/3/29,0,5.9,23.4,27.1,20.7
2007/3/30,0,0,24.4,27.6,22.1
2007/3/31,0,0,24.7,27.3,22.7
2007/4/1,0,0,25.3,27.7,23.5
2007/4/2,0,30.2,21.6,26.1,17.3
2007/4/3,0,1,14.3,17.3,12.2
2007/4/4,0,6.3,11,13,9.7
2007/4/5,0,0.9,11.9,12.7,10.6
2007/4/6,0,0.1,14.2,16.3,12.6
2007/4/7,0,0.4,15.3,17.4,14
2007/4/8,0,0,17.6,21.2,15.3
2007/4/9,0,0.1,19.1,23.2,16.4
2007/4/10,0,15.5,17.4,19.8,16.4
2007/4/11,0,0,19.4,25.9,15
2007/4/12,0,0,21,26.8,15.9
2007/4/13,0,0,22.6,28.8,17.5
2007/4/14,0,0,23.3,27.6,20.7
2007/4/15,0,0,25.2,31.3,21.2
2007/4/16,0,0,26.7,32.2,22.4
2007/4/17,0,31.6,24.5,29.4,19.4
2007/4/18,0,1.2,20.4,27.1,14.8
2007/4/19,0,0,21.9,27.9,15.7
2007/4/20,0,0,23.4,28,18.7
2007/4/21,0,0.2,24.9,27.1,23.5
2007/4/22,0,4,25.5,28.8,24.6
2007/4/23,0,12,25.6,28.9,23.6
2007/4/24,0,52.8,22.1,26.1,20.5
2007/4/25,0,8.8,20.1,22.7,17.4
2007/4/26,0,0,22.9,28,18.7
2007/4/27,0,0,25.8,30.5,22.3
2007/4/28,0,0,26,30.3,22.8
2007/4/29,0,0.4,24.1,25.8,23.2
2007/4/30,0,19.4,22.5,26.6,20.5
2007/5/1,0,0,25.3,32.5,19.2
2007/5/2,0,0,26.4,32.8,19.9
2007/5/3,0,0,26.4,31.5,21.4
2007/5/4,0,15.7,22.9,27.3,21.3
2007/5/5,0,14,24.3,28.6,21.6
2007/5/6,0,0,25.6,31.9,22
2007/5/7,0,0,27,34,19.8
2007/5/8,0,0,26.6,31.9,20.6
2007/5/9,0,0,26.4,30,21.6
2007/5/10,0,0,27.5,30.9,22.8
2007/5/11,0,0,28,32.6,24.6
2007/5/12,0,0,28,34.1,24.5
2007/5/13,0,0,26.6,31.7,22.6
2007/5/14,0,0,28,32.3,25
2007/5/15,0,0,28.1,32.7,25.2
2007/5/16,0,0,28.5,34.9,25.7
2007/5/17,0,0,28.6,34.4,23.2
2007/5/18,0,5.6,27.7,33.1,25
2007/5/19,0,6.9,23.7,26.2,22.2
2007/5/20,0,46.3,22.7,24.3,21.5
2007/5/21,0,40.7,23,23.5,22.4
2007/5/22,0,0.1,25.5,27.8,23.2
2007/5/23,0,0,28.6,33.9,25.7
2007/5/24,0,0,29.5,32.8,27.2
2007/5/25,0,0,29.3,33.3,27.2
2007/5/26,0,29.9,26.3,29.3,23.4
2007/5/27,0,21.5,26,31.1,24.1
2007/5/28,0,0,27.2,32.5,23.8
2007/5/29,0,4.4,29.5,34.9,26.1
2007/5/30,0,0,30.7,35.1,26.6
2007/5/31,0,8.6,29.4,34.3,26
2007/6/1,0,0.2,30.3,34.2,27.3
2007/6/2,0,2.3,28.2,33.2,26.5
2007/6/3,0,0.3,29.2,34.9,26
2007/6/4,0,0.2,29,34.5,26.4
2007/6/5,0,6.8,28.9,34.1,26.1
2007/6/6,0,4.8,27.2,30.8,26.1
2007/6/7,0,30.2,27.8,33.5,24.9
2007/6/8,0,25.3,26.7,33.9,24.2
2007/6/9,0,11.5,25.4,30.5,23.8
2007/6/10,0,73.5,25.8,29.3,24
2007/6/11,0,10.7,27.8,32.6,25
2007/6/12,0,6.1,26.5,29.8,25.2
2007/6/13,0,24.1,27.9,32.2,25.4
2007/6/14,0,5.4,25.7,28.9,24.3
2007/6/15,0,0,27.9,33.7,23.5
2007/6/16,0,31,27.5,31.9,25.4
2007/6/17,0,20.2,26.1,30.2,24.5
2007/6/18,0,2,27.8,32.7,25.3
2007/6/19,0,0,30,34.7,26
2007/6/20,0,0,31.2,35.7,27.2
2007/6/21,0,0,31.5,35.5,27.6
2007/6/22,0,0,31.3,35.4,28
2007/6/23,0,0,31.2,35.9,28.1
2007/6/24,0,0,32,36.8,27.6
2007/6/25,0,0,31.7,36.2,28.3
2007/6/26,0,0,30.9,34.7,28.6
2007/6/27,0,12.9,27.9,32.3,26.2
2007/6/28,0,1.1,28.3,32.1,26.3
2007/6/29,0,34.5,26.9,28.9,25
2007/6/30,0,16.7,26.7,30.5,25.4
2007/7/1,0,11.9,27,28.6,25.3
2007/7/2,0,0.1,28.6,33.3,26.3
2007/7/3,0,0,29.8,34.1,25.7
2007/7/4,0,5.3,30.2,34,26.5
2007/7/5,0,11.5,29.4,32.3,26.8
2007/7/6,0,16.7,28.8,31.2,26.6
2007/7/7,0,0,30,33.7,26.5
2007/7/8,0,0,30.8,35.1,27.2
2007/7/9,0,0,30.8,35.6,27.8
2007/7/10,0,0,30.7,34.7,27.5
2007/7/11,0,0,31.6,35,27.7
2007/7/12,0,0,32.2,36.6,28.1
2007/7/13,0,0,32,36.1,28.6
2007/7/14,0,0,32,35.8,29.1
2007/7/15,0,0.1,32.3,36.9,29.3
2007/7/16,0,0,32,35.8,29.3
2007/7/17,0,1.6,30.8,34.5,29.1
2007/7/18,0,0.8,30.8,33.8,28.7
2007/7/19,0,0.4,31,35.1,28.7
2007/7/20,0,2.3,30.4,35,28.4
2007/7/21,0,29.5,30,35.3,24.4
2007/7/22,0,0,30.6,36,26.1
2007/7/23,0,0,31.2,36.4,27.4
2007/7/24,0,0,31.5,35.2,27.9
2007/7/25,0,0,31.9,36.3,27.9
2007/7/26,0,0,31.3,35.9,27.2
2007/7/27,0,0,31.3,35.7,27.8
2007/7/28,0,0.5,30.3,35,27.4
2007/7/29,0,0,31.3,35.7,26.9
2007/7/30,0,0,31.8,36.5,27.4
2007/7/31,0,0,31.4,35.9,27.7
2007/8/1,0,0.2,30.8,34.7,27.8
2007/8/2,0,0,31.7,36.3,27
2007/8/3,0,0,32.3,36.9,28.4
2007/8/4,0,0,31.5,36.3,27.7
2007/8/5,0,0,31.4,36.1,27.6
2007/8/6,0,0,29.9,33.9,27
2007/8/7,0,0,30.6,35.2,26.8
2007/8/8,0,0.4,30.9,37.4,27
2007/8/9,0,3.1,30.1,34.5,26.7
2007/8/10,0,2.4,28.2,32.1,25.5
2007/8/11,0,25,26,29.5,24.5
2007/8/12,1,3,28.5,33.9,25.7
2007/8/13,0,4.3,28.5,33.8,25.8
2007/8/14,0,99.4,27.3,32.7,25
2007/8/15,0,11.4,27.8,32.5,23.5
2007/8/16,0,21,26.7,31.3,24.5
2007/8/17,0,9.8,28.4,33.3,24.4
2007/8/18,0,0,30.3,36.4,26.1
2007/8/19,0,0,31.6,36.4,26.4
2007/8/20,0,0,30.6,34.4,28.8
2007/8/21,0,95.2,26.1,29.9,23.9
2007/8/22,0,7.2,26.1,29.7,24
2007/8/23,1,7.2,26.5,28.6,25
2007/8/24,1,2.6,27.3,31.8,25.6
2007/8/25,0,2.5,27.7,32.9,24.7
